,type,metaData,id,accountId,transactionURN,accountRef,date,description,category,amount,currency,status,matchState,fiData,merchantId,transactionType,etag,isExpense,isPending,discretionaryType,isLinkedToRule,transactionReviewState,isReviewed
566,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466332_0', 'rel': 'self'}]}",105265372_1222466332_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1b-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-14,CIRCLE K # X9673,"{'id': '105265372_1401', 'name': 'Gas & Fuel', 'categoryType': 'EXPENSE', 'parentId': '105265372_14', 'parentName': 'Auto & Transport'}",-3.88,USD,POSTED,NOT_MATCHED,"{'id': '202308141832585230716#20230716', 'date': '2023-08-14', 'amount': -3.88, 'description': 'CIRCLE K # X9673', 'inferredDescription': 'CIRCLE K # X9673', 'inferredCategory': {'id': '105265372_1401', 'name': 'Gas & Fuel'}}",10082.0,DEBIT,1695955521000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,False
567,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466232_0', 'rel': 'self'}]}",105265372_1222466232_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a19-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-14,CIRCLE K # X1649,"{'id': '105265372_1401', 'name': 'Gas & Fuel', 'categoryType': 'EXPENSE', 'parentId': '105265372_14', 'parentName': 'Auto & Transport'}",-42.58,USD,POSTED,NOT_MATCHED,"{'id': '202308141832565230716#20230716', 'date': '2023-08-14', 'amount': -42.58, 'description': 'CIRCLE K # X1649', 'inferredDescription': 'CIRCLE K # X1649', 'inferredCategory': {'id': '105265372_1401', 'name': 'Gas & Fuel'}}",10082.0,DEBIT,1695955521000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,False
568,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466208_0', 'rel': 'self'}]}",105265372_1222466208_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1c-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-14,Offer:McDonalds,"{'id': '105265372_30', 'name': 'Income', 'categoryType': 'INCOME', 'parentId': '105265372_0', 'parentName': 'Root'}",1.56,USD,POSTED,NOT_MATCHED,"{'id': '202308141904239230716#20230716', 'date': '2023-08-14', 'amount': 1.56, 'description': 'Offer:McDonalds', 'inferredDescription': 'Offer:McDonalds', 'inferredCategory': {'id': '105265372_30', 'name': 'Income'}}",,CREDIT,1695955521000,False,False,NONE,False,UNREVIEWED,False
569,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466199_0', 'rel': 'self'}]}",105265372_1222466199_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1a-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-14,A BITE OF BELGIUM,"{'id': '105265372_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '105265372_7', 'parentName': 'Food & Dining'}",-90.81,USD,POSTED,NOT_MATCHED,"{'id': '202308141832575230716#20230716', 'date': '2023-08-14', 'amount': -90.81, 'description': 'A BITE OF BELGIUM', 'inferredDescription': 'A BITE OF BELGIUM', 'inferredCategory': {'id': '105265372_707', 'name': 'Restaurants'}}",,DEBIT,1695955521000,True,False,DISCRETIONARY,False,UNREVIEWED,False
563,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466223_0', 'rel': 'self'}]}",105265372_1222466223_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1d-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-15,DD DOORDASH TACOBELL,"{'id': '105265372_706', 'name': 'Fast Food', 'categoryType': 'EXPENSE', 'parentId': '105265372_7', 'parentName': 'Food & Dining'}",-29.61,USD,POSTED,NOT_MATCHED,"{'id': '202308151837456230716#20230716', 'date': '2023-08-15', 'amount': -29.61, 'description': 'DD DOORDASH TACOBELL', 'inferredDescription': 'DD DOORDASH TACOBELL', 'inferredCategory': {'id': '105265372_706', 'name': 'Fast Food'}}",3021.0,DEBIT,1695955521000,True,False,DISCRETIONARY,False,UNREVIEWED,False
561,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466221_0', 'rel': 'self'}]}",105265372_1222466221_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1f-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-16,SACHIKO SUSHI II,"{'id': '105265372_707', 'name': 'Restaurants', 'categoryType': 'EXPENSE', 'parentId': '105265372_7', 'parentName': 'Food & Dining'}",-25.52,USD,POSTED,NOT_MATCHED,"{'id': '202308161858468230816#20230816', 'date': '2023-08-16', 'amount': -25.52, 'description': 'SACHIKO SUSHI II', 'inferredDescription': 'SACHIKO SUSHI II', 'inferredCategory': {'id': '105265372_707', 'name': 'Restaurants'}}",1002737406.0,DEBIT,1695955521000,True,False,DISCRETIONARY,False,UNREVIEWED,False
560,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466280_0', 'rel': 'self'}]}",105265372_1222466280_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a1e-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-16,SCHLOTZSKYS #1734,"{'id': '105265372_706', 'name': 'Fast Food', 'categoryType': 'EXPENSE', 'parentId': '105265372_7', 'parentName': 'Food & Dining'}",-18.4,USD,POSTED,NOT_MATCHED,"{'id': '202308161858458230816#20230816', 'date': '2023-08-16', 'amount': -18.4, 'description': 'SCHLOTZSKYS #1734', 'inferredDescription': 'SCHLOTZSKYS #1734', 'inferredCategory': {'id': '105265372_706', 'name': 'Fast Food'}}",3018.0,DEBIT,1695955521000,True,False,DISCRETIONARY,False,UNREVIEWED,False
559,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:21Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466209_0', 'rel': 'self'}]}",105265372_1222466209_0,105265372_9002407,urn:transaction:fdp::transactionid:39256a20-5e72-11ee-b7aa-d28dd63a83b1,"{'id': '9002407', 'accountURN': 'urn:account:fdp::accountid:390cb1c1-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-17,SAFEWAY #1988,"{'id': '105265372_701', 'name': 'Groceries', 'categoryType': 'EXPENSE', 'parentId': '105265372_7', 'parentName': 'Food & Dining'}",-21.55,USD,POSTED,NOT_MATCHED,"{'id': '202308171843385230816#20230816', 'date': '2023-08-17', 'amount': -21.55, 'description': 'SAFEWAY #1988', 'inferredDescription': 'SAFEWAY #1988', 'inferredCategory': {'id': '105265372_701', 'name': 'Groceries'}}",4122.0,DEBIT,1695955521000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,False
557,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:20Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466076_0', 'rel': 'self'}]}",105265372_1222466076_0,105265372_9002406,urn:transaction:fdp::transactionid:391da1d5-5e72-11ee-b71b-8ab62ef9a8b8,"{'id': '9002406', 'accountURN': 'urn:account:fdp::accountid:390cb1c0-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-18,GOOGLE *Google Storage,"{'id': '105265372_1303', 'name': 'Internet', 'categoryType': 'EXPENSE', 'parentId': '105265372_13', 'parentName': 'Bills & Utilities'}",-21.73,USD,POSTED,NOT_MATCHED,"{'id': '202308181231573230723#20230723', 'date': '2023-08-18', 'amount': -21.73, 'description': 'GOOGLE *Google Storage', 'inferredDescription': 'GOOGLE *Google Storage', 'inferredCategory': {'id': '105265372_1303', 'name': 'Internet'}}",13087.0,DEBIT,1695955520000,True,False,NON_DISCRETIONARY,False,UNREVIEWED,False
558,CashAndCreditTransaction,"{'lastUpdatedDate': '2023-09-29T02:45:20Z', 'link': [{'otherAttributes': {}, 'href': '/v1/transactions/search/105265372_1222466053_0', 'rel': 'self'}]}",105265372_1222466053_0,105265372_9002406,urn:transaction:fdp::transactionid:391da1d6-5e72-11ee-b71b-8ab62ef9a8b8,"{'id': '9002406', 'accountURN': 'urn:account:fdp::accountid:390cb1c0-5e72-11ee-9b41-ee982c68d214', 'name': 'CREDIT CARD', 'type': 'CreditAccount', 'hiddenFromPlanningAndTrends': False}",2023-08-18,Payment Thank You-Mobile,"{'id': '105265372_2101', 'name': 'Credit Card Payment', 'categoryType': 'NO_CATEGORY', 'parentId': '105265372_21', 'parentName': 'Transfer'}",439.58,USD,POSTED,NOT_MATCHED,"{'id': '202308182105140230723#20230723', 'date': '2023-08-18', 'amount': 439.58, 'description': 'Payment Thank You-Mobile', 'inferredDescription': 'Payment Thank You-Mobile', 'inferredCategory': {'id': '105265372_2101', 'name': 'Credit Card Payment'}}",,CREDIT,1695955520000,False,False,NONE,False,UNREVIEWED,False
